Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
144,Takuma Asano,jp JPN,"FW,MF",Bochum,de Bundesliga,28.0,1994.0,22.1,262.0,397.0,66.0,3476.0,855.0,171.0,217.0,78.8,67.0,96.0,69.8,11.0,26.0,42.3,1.0,1.3,0.9,-0.3,21.0,17.0,13.0,1.0,32.0,Matches
145,Marco Asensio,es ESP,"MF,FW",Paris S-G,fr Ligue 1,27.0,1996.0,12.4,545.0,656.0,83.1,8033.0,2110.0,304.0,334.0,91.0,185.0,208.0,88.9,27.0,68.0,39.7,5.0,5.8,4.3,-0.8,33.0,49.0,22.0,5.0,71.0,Matches
146,Kristjan Asllani,al ALB,MF,Inter,it Serie A,21.0,2002.0,8.7,662.0,744.0,89.0,12108.0,3064.0,296.0,306.0,96.7,284.0,302.0,94.0,78.0,120.0,65.0,2.0,1.1,0.8,+0.9,8.0,47.0,4.0,1.0,32.0,Matches
147,Joel Asoro,se SWE,"FW,MF",Metz,fr Ligue 1,24.0,1999.0,9.4,94.0,147.0,63.9,1492.0,451.0,47.0,64.0,73.4,29.0,40.0,72.5,11.0,23.0,47.8,1.0,0.3,0.3,+0.7,8.0,9.0,6.0,3.0,16.0,Matches
148,Jonathan Asp Jensen,dk DEN,FW,Bayern Munich,de Bundesliga,17.0,2006.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
149,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,35.0,1987.0,30.1,949.0,1305.0,72.7,15355.0,4670.0,475.0,583.0,81.5,320.0,408.0,78.4,98.0,202.0,48.5,10.0,10.1,9.3,-0.1,90.0,99.0,55.0,6.0,161.0,Matches
150,Lorenz Assignon,tg TOG,DF,Burnley,eng Premier League,23.0,2000.0,13.7,352.0,485.0,72.6,5411.0,1984.0,182.0,225.0,80.9,152.0,194.0,78.4,10.0,31.0,32.3,2.0,2.6,1.6,-0.6,13.0,16.0,10.0,5.0,34.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,,,,,,,,,,,,,,,,,,,,,A-xAG,,,,,,Matches
151,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,23.0,2000.0,11.2,516.0,600.0,86.0,8700.0,2414.0,220.0,236.0,93.2,247.0,284.0,87.0,34.0,47.0,72.3,1.0,1.8,1.3,-0.8,20.0,32.0,12.0,5.0,51.0,Matches
152,Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,27.0,1996.0,4.0,214.0,238.0,89.9,3127.0,832.0,125.0,132.0,94.7,67.0,73.0,91.8,14.0,19.0,73.7,0.0,0.8,0.4,-0.8,4.0,8.0,3.0,1.0,15.0,Matches
153,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,17.0,2005.0,6.2,155.0,179.0,86.6,2784.0,585.0,50.0,60.0,83.3,90.0,97.0,92.8,10.0,12.0,83.3,0.0,0.1,0.3,-0.1,2.0,14.0,1.0,1.0,21.0,Matches
154,Arthur Atta,fr FRA,"MF,FW",Metz,fr Ligue 1,20.0,2003.0,10.3,301.0,401.0,75.1,5603.0,1409.0,121.0,154.0,78.6,131.0,157.0,83.4,39.0,65.0,60.0,2.0,1.3,0.5,+0.7,12.0,37.0,12.0,4.0,48.0,Matches
155,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,21.0,2002.0,34.0,982.0,1392.0,70.5,28328.0,20599.0,171.0,173.0,98.8,468.0,474.0,98.7,343.0,741.0,46.3,0.0,0.0,0.2,0.0,0.0,33.0,2.0,0.0,1.0,Matches
156,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,fr Ligue 1,34.0,1989.0,29.1,444.0,660.0,67.3,6310.0,1446.0,261.0,357.0,73.1,141.0,204.0,69.1,16.0,39.0,41.0,8.0,5.6,4.4,+2.4,27.0,29.0,27.0,5.0,58.0,Matches
157,Emil Audero,it ITA,GK,Inter,it Serie A,26.0,1997.0,3.7,166.0,197.0,84.3,3484.0,2227.0,44.0,45.0,97.8,96.0,100.0,96.0,25.0,49.0,51.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches
158,Tommaso Augello,it ITA,DF,Cagliari,it Serie A,28.0,1994.0,26.9,919.0,1329.0,69.1,16120.0,7212.0,418.0,481.0,86.9,403.0,550.0,73.3,90.0,233.0,38.6,1.0,2.0,2.4,-1.0,27.0,68.0,31.0,20.0,96.0,Matches
