Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
524,Tawanda Chirewa,zw ZIM,"MF,FW",Wolves,eng Premier League,19.0,2003.0,1.6,46.0,58.0,79.3,664.0,151.0,29.0,31.0,93.5,14.0,18.0,77.8,2.0,3.0,66.7,0.0,0.0,0.1,0.0,1.0,3.0,3.0,2.0,7.0,Matches
525,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,26.0,1997.0,28.8,1494.0,1743.0,85.7,25864.0,7906.0,653.0,701.0,93.2,631.0,692.0,91.2,146.0,254.0,57.5,1.0,1.1,2.8,-0.1,19.0,168.0,22.0,7.0,192.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,,,,,,,,,,,,,,,,,,,,,A-xAG,,,,,,Matches
526,Leon Chiwome,eng ENG,FW,Wolves,eng Premier League,17.0,2006.0,1.9,19.0,22.0,86.4,244.0,59.0,12.0,13.0,92.3,6.0,6.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,Matches
527,Tahith Chong,nl NED,"MF,FW",Luton Town,eng Premier League,23.0,1999.0,22.0,428.0,550.0,77.8,6679.0,1643.0,227.0,257.0,88.3,149.0,189.0,78.8,32.0,54.0,59.3,0.0,0.5,1.4,-0.5,10.0,35.0,20.0,8.0,72.0,Matches
528,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,21.0,2001.0,28.7,961.0,1179.0,81.5,18558.0,6343.0,366.0,425.0,86.1,419.0,489.0,85.7,142.0,195.0,72.8,3.0,1.9,2.5,+1.1,14.0,111.0,15.0,5.0,111.0,Matches
529,Andreas Christensen,dk DEN,"DF,MF",Barcelona,es La Liga,27.0,1996.0,22.0,1480.0,1569.0,94.3,25124.0,8496.0,669.0,699.0,95.7,700.0,724.0,96.7,87.0,108.0,80.6,2.0,1.1,0.8,+0.9,7.0,116.0,1.0,0.0,117.0,Matches
530,Jacob Christensen,dk DEN,MF,Köln,de Bundesliga,22.0,2001.0,2.4,66.0,85.0,77.6,1160.0,453.0,28.0,32.0,87.5,31.0,38.0,81.6,6.0,13.0,46.2,0.0,0.1,0.1,-0.1,2.0,8.0,1.0,0.0,12.0,Matches
531,Oliver Christensen,dk DEN,GK,Fiorentina,it Serie A,24.0,1999.0,4.0,146.0,190.0,76.8,3678.0,2601.0,33.0,33.0,100.0,68.0,71.0,95.8,43.0,83.0,51.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Matches
532,Ryan Christie,sct SCO,MF,Bournemouth,eng Premier League,28.0,1995.0,32.3,988.0,1300.0,76.0,18802.0,5120.0,399.0,467.0,85.4,425.0,510.0,83.3,143.0,253.0,56.5,5.0,5.4,5.4,-0.4,55.0,118.0,42.0,7.0,167.0,Matches
533,Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,eng Premier League,19.0,2003.0,2.5,115.0,134.0,85.8,1476.0,266.0,82.0,88.0,93.2,26.0,31.0,83.9,4.0,5.0,80.0,1.0,0.3,0.3,+0.7,4.0,4.0,6.0,0.0,12.0,Matches
534,Samuel Chukwueze,ng NGA,FW,Milan,it Serie A,24.0,1999.0,11.3,330.0,421.0,78.4,5423.0,1275.0,163.0,197.0,82.7,140.0,170.0,82.4,19.0,32.0,59.4,3.0,2.3,2.7,+0.7,20.0,22.0,23.0,1.0,51.0,Matches
535,Chumi,es ESP,DF,Almería,es La Liga,24.0,1999.0,27.0,1044.0,1208.0,86.4,18403.0,6336.0,425.0,465.0,91.4,537.0,565.0,95.0,70.0,143.0,49.0,1.0,1.4,0.6,-0.4,4.0,44.0,3.0,1.0,68.0,Matches
536,Víctor Chust,es ESP,DF,Cádiz,es La Liga,23.0,2000.0,20.7,831.0,1040.0,79.9,16808.0,7302.0,288.0,317.0,90.9,416.0,459.0,90.6,118.0,230.0,51.3,1.0,0.3,0.2,+0.7,6.0,62.0,4.0,0.0,80.0,Matches
537,Pathé Ciss,sn SEN,MF,Rayo Vallecano,es La Liga,29.0,1994.0,18.5,738.0,890.0,82.9,13455.0,3975.0,315.0,362.0,87.0,339.0,383.0,88.5,69.0,101.0,68.3,0.0,0.5,0.7,-0.5,11.0,73.0,6.0,1.0,84.0,Matches
538,Alphadjo Cissè,it ITA,FW,Hellas Verona,it Serie A,16.0,2006.0,0.1,1.0,1.0,100.0,9.0,0.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
539,Djaoui Cissé,fr FRA,MF,Rennes,fr Ligue 1,19.0,2004.0,0.0,5.0,5.0,100.0,75.0,0.0,4.0,4.0,100.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
540,Ibrahim Cissoko,nl NED,"FW,MF",Toulouse,fr Ligue 1,20.0,2003.0,2.7,89.0,116.0,76.7,1398.0,357.0,50.0,57.0,87.7,27.0,39.0,69.2,7.0,10.0,70.0,1.0,0.4,0.7,+0.6,6.0,7.0,9.0,7.0,12.0,Matches
541,Giorgio Cittadini,it ITA,DF,Monza,it Serie A,21.0,2002.0,0.2,5.0,6.0,83.3,94.0,39.0,1.0,2.0,50.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Matches
542,Giorgio Cittadini,it ITA,DF,Genoa,it Serie A,21.0,2002.0,1.2,19.0,31.0,61.3,392.0,117.0,6.0,11.0,54.5,9.0,14.0,64.3,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Matches
543,Patrick Ciurria,it ITA,"DF,MF",Monza,it Serie A,28.0,1995.0,17.8,662.0,847.0,78.2,10671.0,3258.0,335.0,377.0,88.9,271.0,348.0,77.9,41.0,72.0,56.9,1.0,2.6,2.1,-1.6,30.0,46.0,28.0,10.0,68.0,Matches
544,Bobby Clark,eng ENG,MF,Liverpool,eng Premier League,18.0,2005.0,1.0,38.0,49.0,77.6,465.0,64.0,23.0,29.0,79.3,11.0,12.0,91.7,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,Matches
545,Jordan Clark,eng ENG,MF,Luton Town,eng Premier League,29.0,1993.0,14.5,369.0,513.0,71.9,6108.0,1636.0,180.0,231.0,77.9,136.0,173.0,78.6,33.0,63.0,52.4,1.0,1.3,1.2,-0.3,12.0,19.0,18.0,4.0,51.0,Matches
546,Alexis Claude-Maurice,fr FRA,MF,Nice,fr Ligue 1,25.0,1998.0,5.6,202.0,253.0,79.8,2857.0,570.0,120.0,132.0,90.9,56.0,75.0,74.7,12.0,22.0,54.5,0.0,0.3,0.6,-0.3,7.0,15.0,6.0,3.0,21.0,Matches
547,Jonathan Clauss,fr FRA,DF,Marseille,fr Ligue 1,30.0,1992.0,23.0,1153.0,1526.0,75.6,19885.0,6946.0,545.0,642.0,84.9,480.0,598.0,80.3,103.0,214.0,48.1,4.0,4.6,5.3,-0.6,46.0,99.0,50.0,18.0,137.0,Matches
548,Silvi Clúa,es ESP,MF,Girona,es La Liga,18.0,2005.0,0.0,5.0,5.0,100.0,85.0,41.0,1.0,1.0,100.0,4.0,4.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches
549,Nathaniel Clyne,eng ENG,DF,Crystal Palace,eng Premier League,32.0,1991.0,14.9,495.0,600.0,82.5,7555.0,3021.0,266.0,288.0,92.4,191.0,224.0,85.3,28.0,54.0,51.9,0.0,0.2,0.2,-0.2,3.0,33.0,4.0,2.0,33.0,Matches
550,Marcus Coco,fr FRA,"DF,FW",Nantes,fr Ligue 1,27.0,1996.0,16.5,473.0,641.0,73.8,7533.0,2758.0,224.0,265.0,84.5,199.0,249.0,79.9,27.0,86.0,31.4,0.0,1.0,1.1,-1.0,12.0,40.0,18.0,8.0,55.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,,,,,,,,,,,,,,,,,,,,,A-xAG,,,,,,Matches
551,Saúl Coco,gq EQG,DF,Las Palmas,es La Liga,24.0,1999.0,25.5,1257.0,1422.0,88.4,20911.0,8245.0,587.0,620.0,94.7,598.0,646.0,92.6,53.0,116.0,45.7,0.0,0.0,0.2,0.0,1.0,52.0,0.0,0.0,69.0,Matches
552,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,34.0,1988.0,7.4,207.0,306.0,67.6,3381.0,1481.0,111.0,132.0,84.1,76.0,103.0,73.8,16.0,51.0,31.4,0.0,1.0,0.7,-1.0,3.0,15.0,4.0,2.0,22.0,Matches
553,Maxime Colin,fr FRA,DF,Metz,fr Ligue 1,31.0,1991.0,20.4,660.0,925.0,71.4,11318.0,5363.0,307.0,381.0,80.6,285.0,372.0,76.6,52.0,122.0,42.6,0.0,0.4,0.6,-0.4,4.0,60.0,7.0,5.0,67.0,Matches
554,Nathan Collins,ie IRL,DF,Brentford,eng Premier League,22.0,2001.0,29.5,1261.0,1552.0,81.3,23470.0,8772.0,462.0,528.0,87.5,660.0,757.0,87.2,116.0,214.0,54.2,1.0,2.2,1.1,-1.2,11.0,78.0,6.0,0.0,97.0,Matches
555,Nnamdi Collins,de GER,DF,Eint Frankfurt,de Bundesliga,19.0,2004.0,1.0,61.0,75.0,81.3,1011.0,387.0,23.0,26.0,88.5,35.0,39.0,89.7,2.0,7.0,28.6,0.0,0.0,0.1,0.0,0.0,8.0,0.0,0.0,13.0,Matches
556,Lorenzo Colombo,it ITA,FW,Monza,it Serie A,21.0,2002.0,15.1,185.0,263.0,70.3,2711.0,593.0,104.0,139.0,74.8,48.0,66.0,72.7,16.0,22.0,72.7,1.0,0.6,0.5,+0.4,8.0,10.0,3.0,0.0,24.0,Matches
557,Andrea Colpani,it ITA,"MF,FW",Monza,it Serie A,24.0,1999.0,29.5,752.0,981.0,76.7,14005.0,3225.0,333.0,379.0,87.9,296.0,370.0,80.0,102.0,176.0,58.0,4.0,5.0,4.6,-1.0,56.0,55.0,41.0,9.0,120.0,Matches
558,Levi Colwill,eng ENG,DF,Chelsea,eng Premier League,20.0,2003.0,20.0,965.0,1163.0,83.0,16310.0,5939.0,444.0,495.0,89.7,456.0,508.0,89.8,51.0,117.0,43.6,1.0,1.2,0.5,-0.2,7.0,82.0,6.0,0.0,73.0,Matches
559,Kingsley Coman,fr FRA,FW,Bayern Munich,de Bundesliga,27.0,1996.0,12.4,528.0,647.0,81.6,8358.0,1597.0,285.0,330.0,86.4,206.0,233.0,88.4,26.0,45.0,57.8,3.0,3.8,4.5,-0.8,29.0,19.0,41.0,8.0,72.0,Matches
560,Eray Cömert,ch SUI,DF,Nantes,fr Ligue 1,25.0,1998.0,22.2,941.0,1064.0,88.4,18882.0,6076.0,298.0,320.0,93.1,506.0,534.0,94.8,118.0,178.0,66.3,0.0,0.2,0.4,-0.2,4.0,57.0,4.0,2.0,57.0,Matches
561,Santi Comesaña,es ESP,MF,Villarreal,es La Liga,26.0,1996.0,18.4,752.0,868.0,86.6,12845.0,3509.0,358.0,396.0,90.4,319.0,360.0,88.6,58.0,78.0,74.4,0.0,2.0,1.3,-2.0,12.0,80.0,8.0,0.0,92.0,Matches
562,Pietro Comuzzo,it ITA,"DF,FW",Fiorentina,it Serie A,18.0,2005.0,0.5,27.0,38.0,71.1,550.0,154.0,5.0,11.0,45.5,21.0,24.0,87.5,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,Matches
563,Alois Confais,fr FRA,"MF,FW",Le Havre,fr Ligue 1,26.0,1996.0,0.1,7.0,9.0,77.8,74.0,5.0,7.0,8.0,87.5,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
564,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,36.0,1987.0,35.0,838.0,1235.0,67.9,24440.0,17449.0,126.0,126.0,100.0,395.0,402.0,98.3,311.0,700.0,44.4,0.0,0.0,0.1,0.0,0.0,15.0,2.0,0.0,1.0,Matches
565,Bambasé Conté,de GER,"MF,FW",Hoffenheim,de Bundesliga,20.0,2003.0,0.5,19.0,24.0,79.2,228.0,61.0,14.0,15.0,93.3,4.0,6.0,66.7,1.0,3.0,33.3,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,Matches
566,Nikita Contini Baranovsky,it ITA,GK,Napoli,it Serie A,27.0,1996.0,0.2,4.0,4.0,100.0,66.0,38.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
567,Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,26.0,1997.0,31.0,1135.0,1487.0,76.3,20294.0,6864.0,458.0,539.0,85.0,539.0,616.0,87.5,112.0,257.0,43.6,3.0,4.3,3.0,-1.3,46.0,138.0,20.0,4.0,142.0,Matches
568,Copete,es ESP,DF,Mallorca,es La Liga,23.0,1999.0,14.8,449.0,584.0,76.9,8887.0,3089.0,155.0,180.0,86.1,230.0,268.0,85.8,57.0,117.0,48.7,1.0,0.8,0.5,+0.2,4.0,46.0,6.0,3.0,52.0,Matches
569,Diego Coppola,it ITA,DF,Hellas Verona,it Serie A,19.0,2003.0,18.2,555.0,718.0,77.3,11563.0,4450.0,151.0,189.0,79.9,324.0,369.0,87.8,78.0,142.0,54.9,0.0,0.2,0.1,-0.2,4.0,33.0,0.0,0.0,40.0,Matches
570,Francis Coquelin,fr FRA,MF,Villarreal,es La Liga,32.0,1991.0,10.1,379.0,431.0,87.9,6421.0,1616.0,173.0,188.0,92.0,169.0,184.0,91.8,30.0,41.0,73.2,0.0,0.1,0.6,-0.1,1.0,37.0,7.0,1.0,47.0,Matches
571,Tommaso Corazza,it ITA,DF,Bologna,it Serie A,19.0,2004.0,2.2,119.0,145.0,82.1,1781.0,648.0,68.0,74.0,91.9,38.0,41.0,92.7,8.0,17.0,47.1,0.0,0.1,0.2,-0.1,1.0,7.0,4.0,3.0,14.0,Matches
572,Theo Corbeanu,ca CAN,"MF,FW",Granada,es La Liga,21.0,2002.0,2.0,37.0,60.0,61.7,639.0,147.0,21.0,27.0,77.8,8.0,17.0,47.1,6.0,11.0,54.5,0.0,0.0,0.2,0.0,0.0,5.0,2.0,2.0,5.0,Matches
573,Jeppe Corfitzen,dk DEN,FW,Lecce,it Serie A,18.0,2004.0,0.1,2.0,3.0,66.7,33.0,0.0,0.0,0.0,,2.0,3.0,66.7,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
574,Jack Cork,eng ENG,MF,Burnley,eng Premier League,34.0,1989.0,0.3,25.0,33.0,75.8,370.0,77.0,13.0,16.0,81.3,10.0,10.0,100.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,Matches
575,Maxwel Cornet,ci CIV,"MF,FW",West Ham,eng Premier League,26.0,1996.0,1.2,36.0,49.0,73.5,407.0,70.0,27.0,34.0,79.4,6.0,8.0,75.0,0.0,1.0,0.0,0.0,0.2,0.0,-0.2,4.0,0.0,0.0,0.0,2.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,,,,,,,,,,,,,,,,,,,,,A-xAG,,,,,,Matches
576,Giacomo Corona,it ITA,FW,Empoli,it Serie A,19.0,2004.0,0.1,2.0,2.0,100.0,41.0,0.0,1.0,1.0,100.0,0.0,0.0,,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
577,Jesús Corona,mx MEX,"MF,DF",Sevilla,es La Liga,30.0,1993.0,0.2,9.0,14.0,64.3,106.0,14.0,6.0,7.0,85.7,3.0,6.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
578,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,es La Liga,28.0,1995.0,17.0,379.0,516.0,73.4,4856.0,1162.0,249.0,301.0,82.7,85.0,110.0,77.3,18.0,46.0,39.1,2.0,3.6,3.8,-1.6,32.0,29.0,23.0,2.0,61.0,Matches
579,Joaquín Correa,ar ARG,"FW,MF",Marseille,fr Ligue 1,28.0,1994.0,4.8,131.0,167.0,78.4,2086.0,576.0,61.0,80.0,76.3,60.0,62.0,96.8,7.0,9.0,77.8,0.0,0.7,0.6,-0.7,5.0,10.0,11.0,0.0,25.0,Matches
580,Thierry Correia,pt POR,DF,Valencia,es La Liga,24.0,1999.0,23.9,1017.0,1340.0,75.9,16699.0,6810.0,546.0,608.0,89.8,369.0,462.0,79.9,85.0,209.0,40.7,2.0,2.1,2.5,-0.1,18.0,70.0,29.0,11.0,80.0,Matches
581,Oscar Cortés,co COL,"FW,MF",Lens,fr Ligue 1,19.0,2003.0,0.5,18.0,26.0,69.2,217.0,36.0,13.0,19.0,68.4,3.0,4.0,75.0,0.0,1.0,0.0,1.0,0.7,0.1,+0.3,1.0,1.0,1.0,1.0,2.0,Matches
582,Danny da Costa,de GER,DF,Mainz 05,de Bundesliga,30.0,1993.0,9.2,317.0,470.0,67.4,5513.0,2576.0,144.0,177.0,81.4,126.0,193.0,65.3,37.0,69.0,53.6,1.0,1.2,1.3,-0.2,9.0,27.0,16.0,9.0,40.0,Matches
583,David Costa,pt POR,MF,Lens,fr Ligue 1,22.0,2001.0,16.6,570.0,726.0,78.5,9004.0,2375.0,277.0,318.0,87.1,216.0,266.0,81.2,41.0,74.0,55.4,2.0,3.5,3.1,-1.5,26.0,51.0,26.0,7.0,73.0,Matches
584,Jaume Costa,es ESP,DF,Mallorca,es La Liga,35.0,1988.0,18.7,615.0,834.0,73.7,9676.0,4167.0,345.0,385.0,89.6,217.0,291.0,74.6,43.0,115.0,37.4,1.0,1.2,1.2,-0.2,19.0,36.0,21.0,14.0,50.0,Matches
585,João Costa,br BRA,"MF,FW",Roma,it Serie A,18.0,2005.0,0.2,7.0,9.0,77.8,100.0,43.0,4.0,4.0,100.0,3.0,3.0,100.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,1.0,0.0,1.0,Matches
586,Logan Costa,cv CPV,DF,Toulouse,fr Ligue 1,22.0,2001.0,29.4,1491.0,1784.0,83.6,29121.0,12198.0,511.0,559.0,91.4,768.0,868.0,88.5,181.0,302.0,59.9,1.0,0.6,0.7,+0.4,6.0,129.0,6.0,2.0,145.0,Matches
587,Samu Costa,pt POR,MF,Mallorca,es La Liga,22.0,2000.0,25.6,830.0,1087.0,76.4,15302.0,3901.0,357.0,433.0,82.4,359.0,432.0,83.1,99.0,153.0,64.7,1.0,0.5,1.0,+0.5,12.0,77.0,11.0,4.0,93.0,Matches
588,Benoît Costil,fr FRA,GK,Salernitana,it Serie A,36.0,1987.0,13.0,258.0,428.0,60.3,7748.0,6197.0,48.0,49.0,98.0,109.0,111.0,98.2,101.0,267.0,37.8,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,Matches
589,Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,24.0,1999.0,2.0,55.0,80.0,68.8,1658.0,1275.0,7.0,7.0,100.0,28.0,28.0,100.0,20.0,45.0,44.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Matches
590,Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,30.0,1992.0,34.8,1154.0,1665.0,69.3,18778.0,9229.0,596.0,669.0,89.1,448.0,627.0,71.5,84.0,254.0,33.1,7.0,4.0,3.0,+3.0,33.0,98.0,38.0,21.0,119.0,Matches
591,Lassana Coulibaly,ml MLI,MF,Salernitana,it Serie A,27.0,1996.0,23.1,736.0,873.0,84.3,11985.0,3305.0,358.0,400.0,89.5,305.0,347.0,87.9,52.0,68.0,76.5,1.0,0.8,0.9,+0.2,11.0,80.0,6.0,2.0,88.0,Matches
592,Mamadou Coulibaly,sn SEN,DF,Salernitana,it Serie A,24.0,1999.0,0.0,1.0,3.0,33.3,6.0,1.0,1.0,3.0,33.3,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
593,Mamadou Coulibaly,fr FRA,MF,Monaco,fr Ligue 1,19.0,2004.0,1.3,56.0,70.0,80.0,800.0,158.0,32.0,42.0,76.2,21.0,24.0,87.5,2.0,2.0,100.0,0.0,0.1,0.1,-0.1,1.0,6.0,1.0,0.0,5.0,Matches
594,Tanguy Coulibaly,fr FRA,"FW,MF",Montpellier,fr Ligue 1,22.0,2001.0,6.9,137.0,172.0,79.7,1831.0,305.0,81.0,89.0,91.0,41.0,54.0,75.9,3.0,7.0,42.9,0.0,0.8,0.6,-0.8,9.0,6.0,4.0,0.0,13.0,Matches
595,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,31.0,1992.0,3.7,113.0,123.0,91.9,2675.0,1889.0,25.0,25.0,100.0,63.0,63.0,100.0,24.0,34.0,70.6,0.0,0.1,0.0,-0.1,1.0,1.0,0.0,0.0,0.0,Matches
596,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,eng Premier League,31.0,1992.0,0.3,20.0,24.0,83.3,265.0,63.0,11.0,14.0,78.6,8.0,9.0,88.9,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,Matches
597,Yan Couto,br BRA,"DF,FW",Girona,es La Liga,21.0,2002.0,24.9,1057.0,1354.0,78.1,16640.0,4090.0,566.0,644.0,87.9,406.0,512.0,79.3,63.0,117.0,53.8,8.0,4.2,4.3,+3.8,27.0,62.0,34.0,17.0,97.0,Matches
598,Nicolas Cozza,fr FRA,DF,Nantes,fr Ligue 1,24.0,1999.0,9.9,270.0,366.0,73.8,4703.0,1884.0,127.0,152.0,83.6,109.0,140.0,77.9,27.0,52.0,51.9,0.0,0.6,0.5,-0.6,3.0,27.0,5.0,1.0,20.0,Matches
599,Nicolas Cozza,fr FRA,DF,Wolfsburg,de Bundesliga,24.0,1999.0,3.1,147.0,192.0,76.6,2373.0,782.0,76.0,88.0,86.4,61.0,79.0,77.2,8.0,18.0,44.4,0.0,0.1,0.2,-0.1,2.0,19.0,2.0,2.0,16.0,Matches
600,Alessio Cragno,it ITA,GK,Sassuolo,it Serie A,29.0,1994.0,3.0,69.0,100.0,69.0,1856.0,1253.0,16.0,16.0,100.0,28.0,28.0,100.0,24.0,55.0,43.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,,,,,,,,,,,,,,,,,,,,,A-xAG,,,,,,Matches
601,Crespo,pt POR,MF,Rayo Vallecano,es La Liga,26.0,1996.0,5.9,230.0,273.0,84.2,3360.0,1147.0,126.0,142.0,88.7,85.0,100.0,85.0,11.0,18.0,61.1,0.0,1.0,0.5,-1.0,6.0,31.0,5.0,0.0,30.0,Matches
602,Aaron Cresswell,eng ENG,"DF,FW",West Ham,eng Premier League,33.0,1989.0,4.8,254.0,308.0,82.5,4176.0,1722.0,142.0,155.0,91.6,80.0,96.0,83.3,25.0,48.0,52.1,0.0,0.4,0.3,-0.4,5.0,15.0,4.0,0.0,26.0,Matches
603,Bryan Cristante,it ITA,"MF,DF",Roma,it Serie A,28.0,1995.0,36.5,1785.0,2178.0,82.0,31740.0,9730.0,777.0,895.0,86.8,818.0,924.0,88.5,154.0,242.0,63.6,4.0,2.9,3.1,+1.1,30.0,229.0,37.0,6.0,234.0,Matches
604,Cristian,es ESP,GK,Valencia,es La Liga,25.0,1998.0,0.6,13.0,18.0,72.2,294.0,213.0,3.0,3.0,100.0,8.0,8.0,100.0,2.0,7.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
605,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,31.0,1992.0,18.5,712.0,941.0,75.7,12473.0,5357.0,345.0,382.0,90.3,287.0,387.0,74.2,75.0,145.0,51.7,1.0,0.4,0.6,+0.6,5.0,69.0,9.0,3.0,77.0,Matches
606,Juan Cruz,ar ARG,"FW,MF",Hellas Verona,it Serie A,24.0,1999.0,1.2,18.0,27.0,66.7,211.0,78.0,16.0,22.0,72.7,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.1,0.1,-0.1,1.0,1.0,0.0,0.0,4.0,Matches
607,Juan Cruz,es ESP,FW,Betis,es La Liga,23.0,2000.0,0.8,15.0,20.0,75.0,187.0,49.0,13.0,15.0,86.7,2.0,4.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,Matches
608,Juan Cuadrado,co COL,DF,Inter,it Serie A,35.0,1988.0,3.0,158.0,189.0,83.6,2799.0,632.0,73.0,77.0,94.8,61.0,76.0,80.3,16.0,27.0,59.3,2.0,1.6,1.2,+0.4,9.0,11.0,5.0,2.0,11.0,Matches
609,Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,16.0,2007.0,17.3,1360.0,1487.0,91.5,25525.0,8442.0,493.0,523.0,94.3,737.0,772.0,95.5,122.0,170.0,71.8,0.0,0.4,0.4,-0.4,5.0,73.0,0.0,0.0,75.0,Matches
610,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,25.0,1998.0,19.8,1036.0,1196.0,86.6,15110.0,4408.0,595.0,645.0,92.2,383.0,430.0,89.1,32.0,65.0,49.2,2.0,1.1,1.2,+0.9,19.0,51.0,7.0,4.0,50.0,Matches
611,Iván Cuéllar,es ESP,GK,Mallorca,es La Liga,39.0,1984.0,1.0,24.0,35.0,68.6,612.0,461.0,3.0,4.0,75.0,14.0,14.0,100.0,7.0,17.0,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
612,Jorge Cuenca,es ESP,DF,Villarreal,es La Liga,23.0,1999.0,21.8,957.0,1150.0,83.2,17344.0,6301.0,367.0,388.0,94.6,515.0,579.0,88.9,65.0,154.0,42.2,1.0,0.2,0.8,+0.8,6.0,62.0,10.0,6.0,78.0,Matches
613,Josh Cullen,ie IRL,MF,Burnley,eng Premier League,27.0,1996.0,22.9,1173.0,1373.0,85.4,18812.0,4917.0,617.0,667.0,92.5,466.0,521.0,89.4,69.0,127.0,54.3,3.0,1.8,2.3,+1.2,26.0,119.0,17.0,3.0,123.0,Matches
614,Matheus Cunha,br BRA,"FW,MF",Wolves,eng Premier League,24.0,1999.0,27.1,658.0,831.0,79.2,8887.0,2308.0,411.0,476.0,86.3,182.0,229.0,79.5,32.0,57.0,56.1,7.0,3.2,3.0,+3.8,28.0,56.0,31.0,1.0,87.0,Matches
615,Marvin Cuni,al ALB,FW,Frosinone,it Serie A,22.0,2001.0,5.9,82.0,115.0,71.3,988.0,167.0,48.0,60.0,80.0,20.0,28.0,71.4,3.0,4.0,75.0,0.0,0.3,0.2,-0.3,6.0,2.0,2.0,0.0,11.0,Matches
616,Eric Curbelo,es ESP,"DF,MF",Las Palmas,es La Liga,29.0,1994.0,1.1,57.0,59.0,96.6,885.0,340.0,30.0,30.0,100.0,25.0,27.0,92.6,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Matches
617,Sam Curtis,ie IRL,DF,Sheffield Utd,eng Premier League,17.0,2005.0,0.3,6.0,10.0,60.0,98.0,37.0,3.0,4.0,75.0,3.0,3.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Matches
